class template, instantiations, multiple overload instantiations, loc, definition file path, line
ww::SortedArray, //1, //1, //64, //sw/source/filter/ww8/sortedarray.hxx, //45
oox::drawingml::chart::ModelVector, //2, //2, //13, //oox/inc/oox/drawingml/chart/modelbase.hxx, //57
pcr::ControlWindow, //2, //2, //21, //extensions/source/propctrlr/commoncontrol.hxx, //50
pcr::ListLikeControlWithModifyHandler, //0, //0, //13, //extensions/source/propctrlr/standardcontrol.hxx, //55
pcr::StlSyntaxSequence, //2, //1, //28, //extensions/source/propctrlr/pcrcommon.hxx, //77
writerfilter::doctok::PLCF, //9, //2, //63, //writerfilter/source/doctok/PLCF.hxx, //53
writerfilter::doctok::XNoteHelper, //0, //0, //30, //writerfilter/source/doctok/XNoteHelper.hxx, //33
osl::detail::ObjectRegistry, //0, //0, //29, //sal/inc/osl/diagnose.hxx, //121
chart::wrapper::WrappedSplineProperty, //0, //0, //104, //chart2/source/controller/chartapiwrapper/WrappedSplineProperties.cxx, //54
binaryurp::Cache, //3, //3, //75, //binaryurp/source/cache.hxx, //40
o3tl::cow_wrapper, //12, //6, //86, //o3tl/inc/o3tl/cow_wrapper.hxx, //165
ThreadSafeValue, //0, //0, //19, //sal/qa/osl/process/osl_Thread.cxx, //166
rtl::Allocator, //11, //4, //55, //sal/inc/rtl/allocator.hxx, //50
PCodeBuffConvertor, //1, //0, //25, //basic/source/inc/codegen.hxx, //69
BufferTransformer, //1, //1, //58, //basic/source/comp/codegen.cxx, //447
OffSetAccumulator, //1, //1, //21, //basic/source/comp/codegen.cxx, //420
PCodeBufferWalker, //2, //1, //53, //basic/source/comp/codegen.cxx, //364
PCodeVisitor, //2, //1, //13, //basic/source/comp/codegen.cxx, //347
comphelper::module::OSingletonRegistration, //2, //2, //9, //comphelper/source/inc/comphelper_module.hxx, //69
sd::ShellFactory, //0, //0, //10, //sd/source/ui/inc/ShellFactory.hxx, //37
SwIterator, //0, //0, //12, //sw/inc/switerator.hxx, //34
dbp::OUnoAutoPilot, //1, //1, //68, //extensions/source/dbpilots/unoautopilot.hxx, //53
pcr::HandlerComponentBase, //9, //9, //23, //extensions/source/propctrlr/propertyhandler.hxx, //388
slideshow::internal::BinaryFunctionFunctor, //1, //1, //38, //slideshow/source/engine/smilfunctionparser.cxx, //300
slideshow::internal::ExpressionGrammar::definition, //0, //0, //69, //slideshow/source/engine/smilfunctionparser.cxx, //421
slideshow::internal::ShapeBoundsFunctor, //1, //1, //21, //slideshow/source/engine/smilfunctionparser.cxx, //88
slideshow::internal::UnaryFunctionFunctor, //2, //2, //59, //slideshow/source/engine/smilfunctionparser.cxx, //196
frm::OMultiInstanceAutoRegistration, //4, //1, //21, //forms/source/inc/forms_module.hxx, //121
frm::OOneInstanceAutoRegistration, //4, //1, //21, //forms/source/inc/forms_module.hxx, //164
logging::ComponentMethodGuard, //2, //2, //22, //extensions/source/logging/methodguard.hxx, //32
ucb_impl::RegexpMapConstIter, //5, //1, //18, //ucb/source/inc/regexpmap.hxx, //57
ucb_impl::RegexpMapEntry, //6, //1, //13, //ucb/source/inc/regexpmap.hxx, //33
ucb_impl::RegexpMapIter, //2, //1, //14, //ucb/source/inc/regexpmap.hxx, //90
vcl::DeleteOnDeinit, //0, //0, //12, //vcl/inc/vcl/lazydelete.hxx, //247
vcl::DeleteUnoReferenceOnDeinit, //0, //0, //22, //vcl/inc/vcl/lazydelete.hxx, //280
slideshow::internal::ListenerContainerBase, //0, //0, //110, //slideshow/source/inc/listenercontainer.hxx, //55
slideshow::internal::ThreadSafeListenerContainer, //0, //0, //5, //slideshow/source/inc/listenercontainer.hxx, //282
slideshow::internal::ThreadUnsafeListenerContainer, //3, //1, //5, //slideshow/source/inc/listenercontainer.hxx, //297
basebmp::UnaryFunctionAccessorAdapter, //2, //2, //76, //basebmp/inc/basebmp/accessoradapters.hxx, //46
comphelper::SettingsHelperNoState, //2, //2, //52, //comphelper/inc/comphelper/SettingsHelper.hxx, //41
sd::slidesorter::model::Enumeration, //1, //1, //9, //sd/source/ui/slidesorter/inc/model/SlsEnumeration.hxx, //41
com::sun::star::uno::Array, //0, //0, //5, //cppu/inc/com/sun/star/uno/Type.h, //195
VCLListBoxHelper, //0, //0, //122, //accessibility/inc/accessibility/helper/listboxhelper.hxx, //38
o3tl::range, //39, //5, //84, //o3tl/inc/o3tl/range.hxx, //40
LinkedList, //13, //1, //99, //hwpfilter/source/list.hxx, //39
LinkedListIterator, //10, //1, //78, //hwpfilter/source/list.hxx, //70
connectivity::jdbc::GlobalRef, //2, //1, //56, //connectivity/source/inc/java/GlobalRef.hxx, //39
ExpressionGrammar::definition, //0, //0, //94, //svx/source/customshapes/EnhancedCustomShapeFunctionParser.cxx, //1038
comphelper::scoped_disposing_ptr, //3, //1, //94, //comphelper/inc/comphelper/scoped_disposing_ptr.hxx, //47
ComPtr, //2, //1, //132, //sal/inc/systools/win32/comptr.hxx, //30
svt::GenericEditImplementation, //17, //1, //108, //svtools/inc/svtools/editbrowsebox.hxx, //168
o3tl::sorted_vector_compare, //1, //1, //8, //o3tl/inc/o3tl/sorted_vector.hxx, //22
csv::SweList, //8, //2, //97, //cosv/inc/cosv/tpl/swelist.hxx, //63
csv::SweListCIterator, //3, //1, //24, //cosv/inc/cosv/tpl/swelist.hxx, //183
csv::SweListElement, //5, //2, //17, //cosv/inc/cosv/tpl/swelist.hxx, //35
basegfx::B2DConnectedRanges, //0, //0, //82, //basegfx/inc/basegfx/range/b2dconnectedranges.hxx, //62
CFGuard, //0, //0, //8, //sal/osl/unx/osxlocale.cxx, //34
sfx::IdentItemWrapper, //0, //0, //11, //sfx2/inc/sfx2/itemwrapper.hxx, //163
sfx::SingleItemWrapper, //3, //1, //26, //sfx2/inc/sfx2/itemwrapper.hxx, //90
sfx::ValueItemWrapper, //0, //0, //11, //sfx2/inc/sfx2/itemwrapper.hxx, //136
comphelper::mem_fun1_t, //2, //2, //9, //comphelper/inc/comphelper/stl_types.hxx, //172
pcr::CommonBehaviourControl, //3, //1, //52, //extensions/source/propctrlr/commoncontrol.hxx, //188
salhelper::BoundedQueue, //3, //1, //24, //salhelper/inc/salhelper/queue.hxx, //136
salhelper::Queue, //5, //1, //22, //salhelper/inc/salhelper/queue.hxx, //93
accessibility::HardCppRef, //1, //1, //19, //editeng/inc/editeng/AccessibleParaManager.hxx, //57
accessibility::WeakCppRef, //0, //0, //22, //editeng/inc/editeng/AccessibleParaManager.hxx, //102
ary::stg::Base, //16, //1, //91, //autodoc/source/ary/inc/store/s_base.hxx, //45
TreeVisitor, //1, //1, //60, //svx/source/inc/treevisitor.hxx, //26
ww::compile_time_check, //0, //0, //5, //sw/source/filter/ww8/staticassert.hxx, //31
FindEnclosingRange, //0, //0, //12, //sc/source/core/tool/rangelst.cxx, //51
FindIntersectingRange, //0, //0, //12, //sc/source/core/tool/rangelst.cxx, //65
ary::SCI_DataInMap, //5, //0, //47, //autodoc/source/ary/inc/sci_impl.hxx, //150
ary::SCI_Map, //5, //0, //47, //autodoc/source/ary/inc/sci_impl.hxx, //66
ary::SCI_MultiMap, //6, //0, //57, //autodoc/source/ary/inc/sci_impl.hxx, //92
ary::SCI_Set, //6, //1, //49, //autodoc/source/ary/inc/sci_impl.hxx, //123
slideshow::internal::FromToByActivity, //0, //0, //159, //slideshow/source/engine/activities/activitiesfactory.cxx, //104
slideshow::internal::SimpleActivity, //0, //0, //43, //slideshow/source/engine/activities/activitiesfactory.cxx, //874
slideshow::internal::ValuesActivity, //0, //0, //87, //slideshow/source/engine/activities/activitiesfactory.cxx, //475
PropertyWrapper, //0, //0, //14, //xmloff/source/chart/MultiPropertySetHandler.hxx, //78
orcus::csv_parser, //17, //3, //250, //sc/inc/orcus/csv_parser.hpp, //69
comphelper::OSimpleListenerContainer, //2, //1, //52, //comphelper/inc/comphelper/listenernotification.hxx, //168
logging::OAutoRegistration, //0, //0, //9, //extensions/source/logging/log_module.hxx, //65
logging::OSingletonRegistration, //0, //0, //9, //extensions/source/logging/log_module.hxx, //78
cppu::UnoType, //6, //4, //11, //cppu/inc/cppu/unotype.hxx, //269
writerfilter::CellData, //1, //1, //28, //writerfilter/inc/resourcemodel/TableData.hxx, //35
writerfilter::RowData, //3, //1, //75, //writerfilter/inc/resourcemodel/TableData.hxx, //120
writerfilter::TableData, //9, //1, //63, //writerfilter/inc/resourcemodel/TableData.hxx, //269
basebmp::CompositeIterator1D, //2, //1, //31, //basebmp/inc/basebmp/compositeiterator.hxx, //234
basebmp::detail::ArithmeticProxy, //2, //2, //31, //basebmp/inc/basebmp/compositeiterator.hxx, //36
basebmp::detail::CompositeIteratorBase, //1, //0, //113, //basebmp/inc/basebmp/compositeiterator.hxx, //83
