class template, instantiations, multiple overload instantiations, loc, definition file path, line
ary::SequentialIds, //16, //2, //75, //autodoc/inc/ary/sequentialids.hxx, //48
ary::Slot_SequentialIds, //3, //0, //36, //autodoc/source/ary/inc/slots.hxx, //116
ST_List, //15, //2, //170, //soltools/inc/st_list.hxx, //37
canvas::tools::ValueMap, //1, //1, //84, //canvas/inc/canvas/canvastools.hxx, //530
cppu::WeakImplHelper3, //3, //1, //18, //cppuhelper/inc/cppuhelper/implbase3.hxx, //98
InheritedHelperInterfaceImpl1, //3, //1, //8, //vbahelper/inc/vbahelper/vbahelperinterface.hxx, //113
InheritedHelperInterfaceImpl2, //0, //0, //8, //vbahelper/inc/vbahelper/vbahelperinterface.hxx, //123
InheritedHelperInterfaceImpl3, //0, //0, //8, //vbahelper/inc/vbahelper/vbahelperinterface.hxx, //133
o3tl::LazyUpdate, //0, //0, //20, //o3tl/inc/o3tl/lazy_update.hxx, //185
o3tl::LazyUpdate, //0, //0, //29, //o3tl/inc/o3tl/lazy_update.hxx, //208
o3tl::LazyUpdate, //0, //0, //29, //o3tl/inc/o3tl/lazy_update.hxx, //240
o3tl::detail::LazyUpdateImpl, //1, //0, //31, //o3tl/inc/o3tl/lazy_update.hxx, //73
cppu::PartialWeakComponentImplHelper7, //1, //1, //21, //cppuhelper/inc/cppuhelper/compbase7.hxx, //104
cppu::WeakAggComponentImplHelper7, //1, //1, //23, //cppuhelper/inc/cppuhelper/compbase7.hxx, //145
cppu::WeakComponentImplHelper7, //1, //1, //27, //cppuhelper/inc/cppuhelper/compbase7.hxx, //61
cppu::FreeReference, //3, //1, //95, //cppu/inc/cppu/FreeReference.hxx, //48
myImplHelpers::StyleMapperImpl, //4, //2, //57, //sw/source/filter/ww8/writerwordglue.cxx, //248
RegistryValueList, //16, //3, //44, //registry/inc/registry/registry.hxx, //330
pcr::OAutoRegistration, //0, //0, //3, //extensions/source/propctrlr/modulepcr.hxx, //39
pcr::OSingletonRegistration, //0, //0, //3, //extensions/source/propctrlr/modulepcr.hxx, //39
vcl::ScopedBitmapAccess, //1, //1, //35, //vcl/inc/vcl/scopedbitmapaccess.hxx, //55
oox::Matrix, //8, //2, //49, //oox/inc/oox/helper/containerhelper.hxx, //103
oox::drawingml::chart::ModelRef, //37, //12, //14, //oox/inc/oox/drawingml/chart/modelbase.hxx, //45
comphelper::SettingsHelperNoState, //2, //2, //52, //comphelper/inc/comphelper/SettingsHelper.hxx, //50
OHardRefMap, //0, //0, //141, //connectivity/source/sdbcx/VCollection.cxx, //59
sd::slidesorter::cache::QueueProcessorThread, //7, //2, //134, //sd/source/ui/slidesorter/cache/SlsQueueProcessorThread.hxx, //48
ToolsList, //3, //1, //9, //svtools/inc/svtools/textdata.hxx, //176
basebmp::TrueColorMaskAccessor, //4, //0, //104, //basebmp/inc/basebmp/truecolormaskaccessor.hxx, //84
PageHolderObject, //16, //2, //92, //store/workben/t_page.cxx, //321
canvas::BufferedGraphicDeviceBase, //1, //0, //138, //canvas/inc/canvas/base/bufferedgraphicdevicebase.hxx, //85
canvas::GraphicDeviceBase, //2, //1, //216, //canvas/inc/canvas/base/graphicdevicebase.hxx, //112
csv::SweList_dyn, //8, //3, //95, //cosv/inc/cosv/tpl/swelist.hxx, //122
comphelper::WeakBag, //1, //1, //27, //comphelper/inc/comphelper/weakbag.hxx, //44
writerfilter::TableDataHandler, //2, //1, //13, //writerfilter/inc/resourcemodel/TableManager.hxx, //56
cppu::AggImplInheritanceHelper8, //1, //0, //52, //cppuhelper/inc/cppuhelper/implbase8.hxx, //244
cppu::ImplHelper8, //1, //0, //13, //cppuhelper/inc/cppuhelper/implbase8.hxx, //81
cppu::ImplInheritanceHelper8, //1, //0, //50, //cppuhelper/inc/cppuhelper/implbase8.hxx, //175
cppu::WeakAggImplHelper8, //1, //0, //20, //cppuhelper/inc/cppuhelper/implbase8.hxx, //137
cppu::WeakImplHelper8, //1, //0, //18, //cppuhelper/inc/cppuhelper/implbase8.hxx, //104
cppu::UnoType, //3, //2, //11, //cppu/inc/cppu/unotype.hxx, //266
svt::GenericEditImplementation, //17, //1, //108, //svtools/inc/svtools/editbrowsebox.hxx, //166
cppu::AggImplInheritanceHelper11, //1, //0, //52, //cppuhelper/inc/cppuhelper/implbase11.hxx, //247
cppu::ImplHelper11, //1, //0, //13, //cppuhelper/inc/cppuhelper/implbase11.hxx, //84
cppu::ImplInheritanceHelper11, //1, //0, //50, //cppuhelper/inc/cppuhelper/implbase11.hxx, //178
cppu::WeakAggImplHelper11, //1, //0, //20, //cppuhelper/inc/cppuhelper/implbase11.hxx, //140
cppu::WeakImplHelper11, //1, //0, //18, //cppuhelper/inc/cppuhelper/implbase11.hxx, //107
cppu::AggImplInheritanceHelper32, //1, //0, //324, //sw/inc/unotxdoc.hxx, //118
cppu::ImplHelper32, //1, //0, //324, //sw/inc/unotxdoc.hxx, //118
cppu::ImplInheritanceHelper32, //1, //0, //324, //sw/inc/unotxdoc.hxx, //118
cppu::WeakAggImplHelper32, //1, //0, //324, //sw/inc/unotxdoc.hxx, //118
cppu::WeakImplHelper32, //1, //0, //324, //sw/inc/unotxdoc.hxx, //118
orcus::csv_parser, //17, //3, //250, //sc/inc/orcus/csv_parser.hpp, //68
sfx::MultiControlWrapper, //1, //1, //14, //sfx2/inc/sfx2/controlwrapper.hxx, //477
sfx::PosValueMapper, //5, //3, //53, //sfx2/inc/sfx2/controlwrapper.hxx, //72
