object defined with implicit instantiated type, file, line
apiNodes, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/storage/ndb/test/include/NdbRestarter.hpp, //136
nodeVec, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/storage/ndb/test/src/NdbRestarter.cpp, //940
mgmNodes, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/storage/ndb/test/include/NdbRestarter.hpp, //135
ndbNodes, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/storage/ndb/test/include/NdbRestarter.hpp, //146
nodes, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/storage/ndb/test/src/NdbRestarter.cpp, //864
ref_columns, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/sql/sql_class.h, //342
columns, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/sql/sql_class.h, //300
it, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/unittest/gunit/get_diagnostics-t.cc, //86
m_items, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/unittest/gunit/get_diagnostics-t.cc, //103
items, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/unittest/gunit/get_diagnostics-t.cc, //114
items, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/unittest/gunit/get_diagnostics-t.cc, //276
items, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/unittest/gunit/get_diagnostics-t.cc, //324
items, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/unittest/gunit/get_diagnostics-t.cc, //378
[unnamed], ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/sql/gen_lex_hash.cc, //94
entry_list, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/storage/innobase/include/row0ins.h, //209
[unnamed], ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/sql/structs.h, //113
it, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/sql/table.cc, //3746
it, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/sql/table.cc, //4423
it, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/sql/table.cc, //6239
it, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/sql/table.cc, //4488
tb, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/sql/table.cc, //4639
iter, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/sql/table.cc, //5848
it, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/sql/table.cc, //3903
li, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/sql/table.cc, //3945
ki, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/sql/table.cc, //6107
li, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/sql/table.cc, //4071
it, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/sql/table.cc, //2784
m_processes, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/storage/ndb/src/cw/cpcd/CPCD.hpp, //372
m_values, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/storage/ndb/tools/restore/Restore.hpp, //469
[unnamed], ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/storage/ndb/include/mgmapi/ndb_logevent.h, //820
doc_list, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/storage/innobase/include/row0ftsort.h, //47
un_member, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/storage/innobase/include/lock0priv.h, //78
locks, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/storage/innobase/include/lock0priv.h, //47
outer_fields, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/sql/item_sum.h, //364
next, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/unittest/gunit/sql_plist-t.cc, //56
prev, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/unittest/gunit/sql_plist-t.cc, //57
m_int_list, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/unittest/gunit/sql_plist-t.cc, //72
m_int_list_iter, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/unittest/gunit/sql_plist-t.cc, //73
exclude, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/storage/ndb/test/crund/src/crundndb/CrundDriver.hpp, //55
do_db, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/sql/rpl_filter.h, //127
ignore_db, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/sql/rpl_filter.h, //128
rewrite_db, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/sql/rpl_filter.h, //130
m_services, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/storage/ndb/include/util/SocketServer.hpp, //136
m_sessions, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PerconaServer/latest version/storage/ndb/include/util/SocketServer.hpp, //135
