object defined with implicit instantiated type, file, line
sudos, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/mmc_updater/src/ProcessUtils.cpp, //148
iter, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/mmc_updater/src/ProcessUtils.cpp, //321
m_icons, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/logic/Env.h, //51
m_metacache, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/logic/Env.h, //50
m_qnam, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/logic/Env.h, //49
mcVersion, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/logic/minecraft/MinecraftVersionList.cpp, //183
mcVersion, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/logic/minecraft/MinecraftVersionList.cpp, //273
core_mod_list, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/logic/minecraft/LegacyInstance.h, //121
jar_mod_list, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/logic/minecraft/LegacyInstance.h, //120
loader_mod_list, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/logic/minecraft/LegacyInstance.h, //122
texture_pack_list, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/logic/minecraft/LegacyInstance.h, //123
iter, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/mmc_updater/depends/win32cpp/docking.h, //3758
iter, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/mmc_updater/depends/win32cpp/docking.h, //3789
iter, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/mmc_updater/depends/win32cpp/docking.h, //3963
m_vContainerInfo, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/mmc_updater/depends/win32cpp/docking.h, //186
AllDockers, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/mmc_updater/depends/win32cpp/docking.h, //1921
v, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/mmc_updater/depends/win32cpp/docking.h, //1918
AllContainers, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/mmc_updater/depends/win32cpp/docking.h, //2001
